,area_type,location,size,total_sqft,bath,balcony,price
0,Super,Electronic City Phase II,2 BHK,1056.0,2.0,1.0,3219.3680000000004
1,Plot,Chikka Tirupathi,4 Bedroom,2600.0,5.0,3.0,9888.0
2,Built-up,Uttarahalli,3 BHK,1440.0,2.0,3.0,5108.8
3,Super,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,7828.000000000001
4,Super,Kothanur,2 BHK,1200.0,2.0,1.0,4202.400000000001
5,Super,Whitefield,2 BHK,1170.0,2.0,1.0,3131.2000000000003
6,Super,Old Airport Road,4 BHK,2732.0,4.0,2.0,16809.600000000002
7,Super,Rajaji Nagar,4 BHK,3300.0,4.0,2.0,49440.0
8,Super,Marathahalli,3 BHK,1310.0,3.0,1.0,5211.8
9,Plot,Gandhi Bazar,6 Bedroom,1020.0,6.0,2.0,30488.000000000004
10,Super,Whitefield,3 BHK,1800.0,2.0,2.0,5768.0
11,Plot,Whitefield,4 Bedroom,2785.0,5.0,3.0,24308.0
12,Super,7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,3131.2000000000003
13,Built-up,Gottigere,2 BHK,1100.0,2.0,2.0,3296.0
14,Plot,Sarjapur,3 Bedroom,2250.0,3.0,2.0,12195.2
15,Super,Mysore Road,2 BHK,1175.0,2.0,2.0,6056.400000000001
16,Super,Bisuvanahalli,3 BHK,1180.0,3.0,2.0,3955.2000000000003
17,Super,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,4944.0
18,Super,Ramakrishnappa Layout,3 BHK,2770.0,4.0,2.0,23896.0
19,Super,Manayata Tech Park,2 BHK,1100.0,2.0,2.0,3955.2000000000003
20,Built-up,Kengeri,1 BHK,600.0,1.0,1.0,1236.0
21,Super,Binny Pete,3 BHK,1755.0,3.0,1.0,10052.800000000001
22,Plot,Thanisandra,4 Bedroom,2800.0,5.0,2.0,31312.000000000004
23,Super,Bellandur,3 BHK,1767.0,3.0,1.0,8487.2
24,Super, Thanisandra,1 RK,510.0,1.0,0.0,2080.6000000000004
25,Super,Mangammanapalya,3 BHK,1250.0,3.0,2.0,4614.400000000001
26,Super,Electronic City,2 BHK,660.0,1.0,1.0,1903.4400000000003
27,Built-up,Whitefield,3 BHK,1610.0,3.0,2.0,6674.400000000001
28,Super,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,4018.6480000000006
29,Super,Electronic City,3 BHK,1025.0,2.0,1.0,3872.8
31,Super,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,2884.0
32,Super,Hebbal,3 BHK,1760.0,2.0,2.0,10135.2
33,Super,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,4728.936000000001
34,Built-up,Kasturi Nagar,3 BHK,1925.0,3.0,2.0,10300.0
35,Super,Kanakpura Road,2 BHK,700.0,2.0,1.0,2966.4
36,Super,Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,3749.2000000000003
37,Super,Kundalahalli,3 BHK,1724.0,3.0,2.0,10300.0
38,Super,Chikkalasandra,3 BHK,1290.0,2.0,2.0,4624.2880000000005
39,Built-up,Uttarahalli,2 BHK,1143.0,2.0,2.0,3708.0000000000005
40,Built-up,Murugeshpalya,2 BHK,1296.0,2.0,2.0,6674.400000000001
41,Super,Sarjapur  Road,3 BHK,1254.0,3.0,2.0,3131.2000000000003
42,Super,Ganga Nagar,1 BHK,600.0,1.0,0.0,3131.2000000000003
43,Plot,Yelahanka,1 Bedroom,660.0,1.0,0.0,3955.2000000000003
46,Super,Doddathoguru,2 BHK,970.0,2.0,0.0,2719.2000000000003
47,Super,Whitefield,2 BHK,1459.0,2.0,1.0,7813.168
48,Plot,KR Puram,2 Bedroom,800.0,1.0,1.0,10712.0
49,Built-up,Himagiri Meadows,2 BHK,869.0,2.0,1.0,2966.4
50,Super,Adarsh Nagar,2 BHK,1270.0,2.0,1.0,4120.0
51,Super,Bhoganhalli,3 BHK,1670.0,3.0,1.0,8157.6
52,Built-up,Whitefield,3 BHK,2010.0,3.0,2.0,7498.400000000001
53,Super,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,6180.0
54,Super,Yelahanka,3 BHK,1600.0,2.0,3.0,6180.0
55,Super,Begur Road,2 BHK,1200.0,2.0,2.0,3625.6000000000004
57,Super,Ramakrishnappa Layout,2 BHK,1500.0,2.0,2.0,15244.000000000002
58,Plot,Murugeshpalya,6 Bedroom,1407.0,4.0,1.0,12360.0
59,Super,Govindaraja Nagar Ward,2 BHK,840.0,2.0,2.0,3708.0000000000005
60,Plot,Tharabanahalli,3 Bedroom,4395.0,3.0,2.0,19776.0
61,Super,Ganga Nagar,2 BHK,845.0,2.0,1.0,4532.0
62,Plot,Whitefield,4 Bedroom,5700.0,5.0,3.0,53560.00000000001
63,Built-up,Varthur,2 BHK,1160.0,2.0,2.0,3625.6000000000004
65,Super,Doddathoguru,2 BHK,1100.0,2.0,1.0,5108.8
66,Super,Gunjur,2 BHK,1140.0,2.0,3.0,3543.2000000000003
67,Super,Marathahalli,2 BHK,1220.0,2.0,1.0,4696.8
68,Plot,Devarachikkanahalli,8 Bedroom,1350.0,7.0,0.0,7004.000000000001
69,Super,Kanakpura Road,2 BHK,1005.0,2.0,1.0,3022.4320000000002
70,Plot,Double Road,3 Bedroom,500.0,3.0,2.0,8240.0
71,Super,Begur Road,2 BHK,1358.0,2.0,1.0,6639.792
72,Super,Hegde Nagar,3 BHK,1569.0,3.0,1.0,8322.400000000001
73,Super,Haralur Road,2 BHK,1240.0,2.0,1.0,5768.0
74,Super,Hennur Road,3 BHK,2089.0,3.0,2.0,11536.0
75,Super,Kothannur,2 BHK,1206.0,2.0,1.0,3974.152
76,Super,Kalena Agrahara,2 BHK,1150.0,2.0,3.0,3296.0
77,Built-up,Cholanayakanahalli,3 BHK,2511.0,3.0,3.0,16892.0
78,Built-up,Kaval Byrasandra,2 BHK,460.0,1.0,0.0,1812.8000000000002
79,Built-up,ISRO Layout,6 Bedroom,4400.0,6.0,3.0,20600.0
80,Super,Kodanda Reddy Layout,3 BHK,1660.0,2.0,2.0,8652.0
82,Super,Yelahanka,2 BHK,1326.0,2.0,2.0,6427.200000000001
83,Super,Garudachar Palya,3 BHK,1325.0,2.0,2.0,5009.92
84,Super,EPIP Zone,3 BHK,1499.0,5.0,2.0,8404.800000000001
85,Built-up,Hegde Nagar,6 Bedroom,3000.0,7.0,2.0,17304.0
86,Super,Kanakpura Road,3 BHK,1665.0,3.0,2.0,7251.200000000001
87,Super,Dasanapura,2 BHK,708.0,2.0,2.0,3048.8
88,Super,Kasavanhalli,2 BHK,1060.0,2.0,2.0,4784.144
89,Plot,Rajaji Nagar,6 Bedroom,710.0,6.0,3.0,13184.0
90,Built-up,Sanjay nagar,2 BHK,1000.0,2.0,2.0,5768.0
91,Super,Electronic City,2 BHK,1000.0,2.0,1.0,2379.712
92,Super, Mysore Highway,3 BHK,1450.0,2.0,2.0,5768.0
93,Plot,ISRO Layout,4 Bedroom,1200.0,4.0,2.0,12772.0
94,Super,Thanisandra,2 BHK,1296.0,2.0,3.0,6592.0
95,Super,Domlur,3 BHK,1540.0,3.0,2.0,7416.000000000001
96,Plot,Kengeri,4 Bedroom,2894.0,4.0,1.0,20188.0
97,Super,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,3955.2000000000003
98,Built-up,Devasthanagalu,2 BHK,1200.0,2.0,1.0,5356.0
99,Built-up,T Dasarahalli,3 Bedroom,1200.0,3.0,1.0,7416.000000000001
100,Super,Yeshwanthpur,3 BHK,2502.0,3.0,3.0,11371.2
101,Built-up,Chandapura,2 BHK,650.0,1.0,1.0,1400.8000000000002
102,Plot,Kothanur,3 Bedroom,2400.0,2.0,1.0,12360.0
103,Super,Green View Layout,2 BHK,1007.0,2.0,2.0,3543.2000000000003
104,Super,Shantiniketan Layout,2 BHK,1200.0,2.0,2.0,4120.0
105,Super,Peenya,2 BHK,966.0,2.0,2.0,4111.76
106,Built-up,Nagarbhavi,3 BHK,1630.0,2.0,1.0,8075.200000000001
107,Built-up,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,18869.600000000002
108,Built-up,Jalahalli West,2 BHK,782.0,2.0,2.0,4588.032
109,Super,Devanahalli,2 BHK,1260.0,2.0,2.0,5502.6720000000005
110,Super,Lakshmiamma Garden,3 BHK,1800.0,3.0,3.0,9888.0
111,Super,Byatarayanapura,3 BHK,1413.0,2.0,2.0,6180.0
112,Super,Whitefield,2 BHK,1116.0,2.0,1.0,4277.384
113,Super,Electronic City,3 BHK,1530.0,2.0,1.0,3782.1600000000003
114,Built-up,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,1.0,18540.0
115,Built-up,Sarjapur  Road,3 Bedroom,2497.0,3.0,2.0,11536.0
116,Super,Kengeri,3 BHK,1540.0,2.0,3.0,5273.6
117,Super,Thanisandra,3 BHK,1436.0,3.0,1.0,6159.400000000001
118,Super,Malleshwaram,2 BHK,1100.0,2.0,2.0,6180.0
120,Super,Thanisandra,3 BHK,1427.0,3.0,2.0,9888.0
121,Super,Akshaya Nagar,3 BHK,2061.0,3.0,1.0,16480.0
123,Built-up,Shampura,4 BHK,2650.0,4.0,2.0,12360.0
124,Super,Devanahalli,3 BHK,1282.0,2.0,2.0,5646.048
125,Built-up,Kadugodi,2 BHK,1050.0,2.0,1.0,2801.6000000000004
126,Built-up,LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,5356.0
127,Super,Vajarahalli,2 BHK,945.0,2.0,1.0,4449.6
128,Super,Hormavu,2 BHK,1500.0,2.0,1.0,6427.200000000001
129,Plot,Vishwapriya Layout,7 Bedroom,950.0,7.0,0.0,9476.0
130,Built-up,Peenya,3 BHK,1870.0,3.0,3.0,9064.0
131,Plot,Sarjapur,3 Bedroom,1600.0,3.0,1.0,6180.0
132,Super,Electronic City,2 BHK,880.0,1.0,1.0,1359.6000000000001
133,Plot,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,0.0,17304.0
134,Super,Kudlu Gate,3 BHK,1535.0,3.0,2.0,6839.200000000001
135,Built-up,Kanakpura Road,2 BHK,950.0,2.0,1.0,4696.8
136,Super,Devanahalli,2 BHK,1360.0,2.0,1.0,5356.0
138,Super,Bommasandra Industrial Area,3 BHK,1280.0,3.0,1.0,4152.96
139,Super,Chandra Layout,3 BHK,1260.0,2.0,2.0,7008.12
141,Super,Yelahanka,5 BHK,3050.0,5.0,1.0,17551.2
